x,y
50.0,50.0
250.0,50.0
850.0,50.0
1450.0,50.0
2050.0,50.0
2550.0,50.0
2850.0,50.0
3950.0,50.0
3450.0,150.0
3950.0,250.0
1350.0,450.0
850.0,550.0
50.0,650.0
2350.0,650.0
2850.0,750.0
3350.0,750.0
3950.0,750.0
1350.0,950.0
50.0,1250.0
850.0,1250.0
2650.0,1350.0
3850.0,1350.0
2150.0,1550.0
3650.0,1650.0
50.0,1750.0
850.0,2150.0
3950.0,2150.0
50.0,2250.0
1850.0,2250.0
2550.0,2250.0
3050.0,2250.0
650.0,2450.0
3950.0,2650.0
3150.0,2750.0
2350.0,2850.0
50.0,3250.0
1350.0,3250.0
3950.0,3250.0
3050.0,3450.0
850.0,3550.0
350.0,3750.0
1450.0,3750.0
2250.0,3750.0
3750.0,3750.0
50.0,3950.0
850.0,3950.0
1950.0,3950.0
2750.0,3950.0
3350.0,3950.0
3950.0,3950.0
